NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
1,Brasil,2,%,0.75,306,IPCA dessazonalizado - Variação mensal,201505,maio 2015,1,Brasil
1,Brasil,2,%,0.87,306,IPCA dessazonalizado - Variação mensal,201506,junho 2015,1,Brasil
1,Brasil,2,%,0.72,306,IPCA dessazonalizado - Variação mensal,201507,julho 2015,1,Brasil
1,Brasil,2,%,0.28,306,IPCA dessazonalizado - Variação mensal,201508,agosto 2015,1,Brasil
1,Brasil,2,%,0.60,306,IPCA dessazonalizado - Variação mensal,201509,setembro 2015,1,Brasil
1,Brasil,2,%,0.79,306,IPCA dessazonalizado - Variação mensal,201510,outubro 2015,1,Brasil
1,Brasil,2,%,0.95,306,IPCA dessazonalizado - Variação mensal,201511,novembro 2015,1,Brasil
1,Brasil,2,%,0.91,306,IPCA dessazonalizado - Variação mensal,201512,dezembro 2015,1,Brasil
1,Brasil,2,%,1.16,306,IPCA dessazonalizado - Variação mensal,201601,janeiro 2016,1,Brasil
1,Brasil,2,%,0.90,306,IPCA dessazonalizado - Variação mensal,201602,fevereiro 2016,1,Brasil
1,Brasil,2,%,0.37,306,IPCA dessazonalizado - Variação mensal,201603,março 2016,1,Brasil
1,Brasil,2,%,0.58,306,IPCA dessazonalizado - Variação mensal,201604,abril 2016,1,Brasil
1,Brasil,2,%,0.81,306,IPCA dessazonalizado - Variação mensal,201605,maio 2016,1,Brasil
1,Brasil,2,%,0.46,306,IPCA dessazonalizado - Variação mensal,201606,junho 2016,1,Brasil
1,Brasil,2,%,0.61,306,IPCA dessazonalizado - Variação mensal,201607,julho 2016,1,Brasil
1,Brasil,2,%,0.51,306,IPCA dessazonalizado - Variação mensal,201608,agosto 2016,1,Brasil
1,Brasil,2,%,0.14,306,IPCA dessazonalizado - Variação mensal,201609,setembro 2016,1,Brasil
1,Brasil,2,%,0.24,306,IPCA dessazonalizado - Variação mensal,201610,outubro 2016,1,Brasil
1,Brasil,2,%,0.10,306,IPCA dessazonalizado - Variação mensal,201611,novembro 2016,1,Brasil
1,Brasil,2,%,0.25,306,IPCA dessazonalizado - Variação mensal,201612,dezembro 2016,1,Brasil
1,Brasil,2,%,0.29,306,IPCA dessazonalizado - Variação mensal,201701,janeiro 2017,1,Brasil
1,Brasil,2,%,0.34,306,IPCA dessazonalizado - Variação mensal,201702,fevereiro 2017,1,Brasil
